05:58:47.897123 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 347956:348120, ack 181, win 501, length 164
05:58:47.897221 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 348120:348284, ack 181, win 501, length 164
05:58:47.897313 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 348284:348448, ack 181, win 501, length 164
05:58:47.897394 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 348448:348612, ack 181, win 501, length 164
05:58:47.897475 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 348612:348776, ack 181, win 501, length 164
05:58:47.897557 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 348776:348940, ack 181, win 501, length 164
05:58:47.897645 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 348940:349104, ack 181, win 501, length 164
05:58:47.897729 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 349104:349268, ack 181, win 501, length 164
05:58:47.897892 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 349268:349432, ack 181, win 501, length 164
05:58:47.898085 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 349432:349596, ack 181, win 501, length 164
05:58:47.898184 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 349596:349760, ack 181, win 501, length 164
05:58:47.898277 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 349760:349924, ack 181, win 501, length 164
05:58:47.898366 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 349924:350088, ack 181, win 501, length 164
05:58:47.898451 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 350088:350252, ack 181, win 501, length 164
05:58:47.898534 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 350252:350416, ack 181, win 501, length 164
05:58:47.898619 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 350416:350580, ack 181, win 501, length 164
05:58:47.898708 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 350580:350744, ack 181, win 501, length 164
05:58:47.898790 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 350744:350908, ack 181, win 501, length 164
05:58:47.898873 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 350908:351072, ack 181, win 501, length 164
05:58:47.898957 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 351072:351236, ack 181, win 501, length 164
05:58:47.899040 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 351236:351400, ack 181, win 501, length 164
05:58:47.899121 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 351400:351564, ack 181, win 501, length 164
05:58:47.899225 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 351564:351728, ack 181, win 501, length 164
05:58:47.899416 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 351728:351892, ack 181, win 501, length 164
05:58:47.899507 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 351892:352056, ack 181, win 501, length 164
05:58:47.899589 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 352056:352220, ack 181, win 501, length 164
05:58:47.899670 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 352220:352384, ack 181, win 501, length 164
05:58:47.899750 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 352384:352548, ack 181, win 501, length 164
05:58:47.899831 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 352548:352712, ack 181, win 501, length 164
05:58:47.899911 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 352712:352876, ack 181, win 501, length 164
05:58:47.900005 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 352876:353040, ack 181, win 501, length 164
05:58:47.900041 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 332444, win 513, length 0
05:58:47.900141 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 353040:353308, ack 181, win 501, length 268
05:58:47.900251 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 353308:353472, ack 181, win 501, length 164
05:58:47.900339 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 353472:353636, ack 181, win 501, length 164
05:58:47.900425 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 353636:353800, ack 181, win 501, length 164
05:58:47.900510 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 353800:353964, ack 181, win 501, length 164
05:58:47.900597 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 353964:354128, ack 181, win 501, length 164
05:58:47.900677 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 354128:354292, ack 181, win 501, length 164
05:58:47.900759 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 354292:354456, ack 181, win 501, length 164
05:58:47.900838 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 354456:354620, ack 181, win 501, length 164
05:58:47.900940 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 354620:354784, ack 181, win 501, length 164
05:58:47.901056 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 354784:354948, ack 181, win 501, length 164
05:58:47.901147 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 354948:355112, ack 181, win 501, length 164
05:58:47.901230 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 355112:355276, ack 181, win 501, length 164
05:58:47.901317 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 355276:355440, ack 181, win 501, length 164
05:58:47.901438 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 355440:355604, ack 181, win 501, length 164
05:58:47.901547 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 355604:355768, ack 181, win 501, length 164
05:58:47.901638 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 355768:355932, ack 181, win 501, length 164
05:58:47.901722 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 355932:356096, ack 181, win 501, length 164
05:58:47.901831 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 356096:356260, ack 181, win 501, length 164
05:58:47.901917 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 356260:356424, ack 181, win 501, length 164
05:58:47.902003 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 356424:356588, ack 181, win 501, length 164
05:58:47.902085 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 356588:356752, ack 181, win 501, length 164
05:58:47.902176 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 356752:356916, ack 181, win 501, length 164
05:58:47.902265 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 356916:357080, ack 181, win 501, length 164
05:58:47.902348 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 357080:357244, ack 181, win 501, length 164
05:58:47.902430 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 357244:357408, ack 181, win 501, length 164
05:58:47.902510 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 357408:357572, ack 181, win 501, length 164
05:58:47.902599 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 357572:357736, ack 181, win 501, length 164
05:58:47.902681 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 357736:357900, ack 181, win 501, length 164
